name,team,position,class_year
Ty Dalley,Clemson,OF,Sr.
Jack Crighton,Clemson,OF/INF,Sr.
Jacob Jarrell,Clemson,C,Sr.
Jay Dillard,Clemson,INF,*Jr. (Graduate)
Coltin Quagliano,Duke,INF,Gr.
Tyler Albright,Duke,OF,Sr.
Matthew Strand,Duke,C,Gr.
Ben Petrone,Duke,INF,Gr.
Bobby Marsh,Duke,1B/OF,Gr.
Anthony Runfola,Duke,C/OF,Gr.
Austin Hawke,Wake Forest,INF,Sr.
Jimmy Keenan,Wake Forest,C,Sr.
Dalton Bargo,NC State,UTL,Sr.
Brayden Fraasman,NC State,OF,Sr.
Wyatt Peifer,NC State,INF,Sr.
Derek Williams,Miami,Outfield,Graduate Student
Jake Ogden,Miami,Infield,Senior
Max Galvin,Miami,Outfield,Redshirt Senior
Jackson Hugus,Miami,Catcher,Graduate Student
Brylan West,Miami,Infield,Graduate Student
Gunnar Johnson,Boston College,C,Gr.
Owen DeShazo,Boston College,IF,Sr.
Kyle Wolff,Boston College,1B,Sr.
Carter Hendrickson,Boston College,OF,Gr.
Jack Toomey,Boston College,OF,Sr.
Nick Wang,Boston College,INF,Gr.
Andrew Graham,Notre Dame,INF,Graduate Student
Drew Berkland,Notre Dame,OF/C,Graduate Student
AJ Nessler,Pittsburgh,OF,Sr.
Jake Kendro,Pittsburgh,INF,Sr.
Joey Baran,Pittsburgh,C,Gr.
Anthony LaSala,Pittsburgh,INF,Sr.
Caden Dulin,Pittsburgh,INF,Sr.
Aidan McAskie,Pittsburgh,OF/INF,Gr.
Lorenzo Carrier,Pittsburgh,OF,R-Sr.
Gavin Miller,Pittsburgh,INF,Sr.
Carter Dierdorf,Pittsburgh,INF,Sr.
Zach Walsh,Pittsburgh,OF,Gr.
Jackson Cooke,Pittsburgh,C/INF,Sr.
Matthew Graveline,West Virginia,OF/C,Sr.
Paul Schoenfeld,West Virginia,OF,5th
Sean Smith,West Virginia,OF,Gr.
Brodie Kresser,West Virginia,INF,Gr.
Brock Wills,West Virginia,OF,Sr.
Ben Lumsden,West Virginia,OF,Sr.
