name,team,conference,position,class_year
Chris Stanfield,LSU,SEC,Outfield,Senior
Tanner Reaves,LSU,SEC,Infield,5th-year Senior
Brayden Simpson,LSU,SEC,Infield,Senior
Seth Dardar,LSU,SEC,Infield,5th-year Senior
Zach Yorke,LSU,SEC,Infield,Senior
Jacob Humphrey,Vanderbilt,SEC,UTL,Senior
JD Rogers,Vanderbilt,SEC,OF,Senior
Ryan Black,Georgia,SEC,INF,Sr.
Michael O'Shaughnessy,Georgia,SEC,INF,Sr.
Kolby Branch,Georgia,SEC,INF,Sr.
Jordy Oriach,Georgia,SEC,UTIL,Sr.
Brennan Hudson,Georgia,SEC,C/INF/OF,Sr.
Cole Koniarsky,Georgia,SEC,OF,Gr.
Logan Sutter,South Carolina,SEC,Infielder,Fifth Year
Talmadge LeCroy,South Carolina,SEC,Catcher,Fifth Year
Ethan Lizama,South Carolina,SEC,Outfielder,Senior
Jake Randolph,South Carolina,SEC,Catcher,Senior
Luke Yuhasz,South Carolina,SEC,Outfielder,Senior
Collin Reuter,Ole Miss,SEC,C/IF,Sr.
Daniel Pacella,Ole Miss,SEC,OF,Sr.
Judd Utermark,Ole Miss,SEC,IF,Sr.
Tristan Bissetta,Ole Miss,SEC,OF,Sr.
Will Furniss,Ole Miss,SEC,IF,Sr.
Tyler Cerny,Kentucky,SEC,INF,Senior
Will Marcy,Kentucky,SEC,OF,Senior
Alex Duffey,Kentucky,SEC,C/UT,Senior
Luke Lawrence,Kentucky,SEC,INF,Senior
Scott Campbell Jr.,Kentucky,SEC,OF,Senior
Carson Hansen,Kentucky,SEC,OF,Senior
Carter McCulley,Florida State,SEC,INF,Sr.
Eli Putnam,Florida State,SEC,INF,R-Sr.
Ty Dalley,Clemson,ACC,OF,Sr.
Jack Crighton,Clemson,ACC,OF/INF,Sr.
Jacob Jarrell,Clemson,ACC,C,Sr.
Jay Dillard,Clemson,ACC,INF,*Jr. (Graduate)
Coltin Quagliano,Duke,ACC,INF,Gr.
Tyler Albright,Duke,ACC,OF,Sr.
Matthew Strand,Duke,ACC,C,Gr.
Ben Petrone,Duke,ACC,INF,Gr.
Bobby Marsh,Duke,ACC,1B/OF,Gr.
Anthony Runfola,Duke,ACC,C/OF,Gr.
Austin Hawke,Wake Forest,ACC,INF,Sr.
Jimmy Keenan,Wake Forest,ACC,C,Sr.
Dalton Bargo,NC State,ACC,UTL,Sr.
Brayden Fraasman,NC State,ACC,OF,Sr.
Wyatt Peifer,NC State,ACC,INF,Sr.
Derek Williams,Miami,ACC,Outfield,Graduate Student
Jake Ogden,Miami,ACC,Infield,Senior
Max Galvin,Miami,ACC,Outfield,Redshirt Senior
Jackson Hugus,Miami,ACC,Catcher,Graduate Student
Brylan West,Miami,ACC,Infield,Graduate Student
Gunnar Johnson,Boston College,ACC,C,Gr.
Owen DeShazo,Boston College,ACC,IF,Sr.
Kyle Wolff,Boston College,ACC,1B,Sr.
Carter Hendrickson,Boston College,ACC,OF,Gr.
Jack Toomey,Boston College,ACC,OF,Sr.
Nick Wang,Boston College,ACC,INF,Gr.
Andrew Graham,Notre Dame,ACC,INF,Graduate Student
Drew Berkland,Notre Dame,ACC,OF/C,Graduate Student
AJ Nessler,Pittsburgh,ACC,OF,Sr.
Jake Kendro,Pittsburgh,ACC,INF,Sr.
Joey Baran,Pittsburgh,ACC,C,Gr.
Anthony LaSala,Pittsburgh,ACC,INF,Sr.
Caden Dulin,Pittsburgh,ACC,INF,Sr.
Aidan McAskie,Pittsburgh,ACC,OF/INF,Gr.
Lorenzo Carrier,Pittsburgh,ACC,OF,R-Sr.
Gavin Miller,Pittsburgh,ACC,INF,Sr.
Carter Dierdorf,Pittsburgh,ACC,INF,Sr.
Zach Walsh,Pittsburgh,ACC,OF,Gr.
Jackson Cooke,Pittsburgh,ACC,C/INF,Sr.
Jett Buck,Nebraska,Big Ten,INF,Sr.
Joshua Overbeek,Nebraska,Big Ten,INF,Sr.
Rhett Stokes,Nebraska,Big Ten,INF,Sr.
Cole Kitchens,Nebraska,Big Ten,INF,Sr.
Dylan Carey,Nebraska,Big Ten,INF,Sr.
Caleb Wulf,Iowa,Big Ten,UTIL,Sr.
Gable Mitchell,Iowa,Big Ten,IF,Sr.
Bryce Phelps,Iowa,Big Ten,OF,Gr.
Miles Risley,Iowa,Big Ten,OF,Sr.
Mitch Wood,Iowa,Big Ten,UTIL,Sr.
Joey Nerat,Iowa,Big Ten,OF,Sr.
Matthew Delgado,Iowa,Big Ten,C,Gr.
Aden Hill,Maryland,Big Ten,OF,Sr.
Jack Zebig,Illinois,Big Ten,INF,Sr.
Daniel Contreras,Illinois,Big Ten,C,Gr.
Cole Warehime,Illinois,Big Ten,OF/1B,Sr.
Nick Groves,Illinois,Big Ten,OF,Sr.
Will Johannes,Illinois,Big Ten,C/1B,Sr.
Jack Mosh,Minnesota,Big Ten,INF,Sr.
Davis Hamilton,Minnesota,Big Ten,INF,Sr.
Sam Hunt,Minnesota,Big Ten,C,R-Sr.
Michael Lippe,Minnesota,Big Ten,OF,Sr.
Weber Neels,Minnesota,Big Ten,C/INF,Sr.
Michael Starrs,Minnesota,Big Ten,INF,Gr.
Jack Bello,Minnesota,Big Ten,INF,Sr.
Jake Elbeery,Minnesota,Big Ten,INF,Gr.
Henry Kaczmar,Ohio State,Big Ten,,Sr.
Noah Furcht,Ohio State,Big Ten,,Gr.
Grant Mangrum,Ohio State,Big Ten,,Gr.
Zach Weber,Ohio State,Big Ten,,Gr.
Luke Carrell,Ohio State,Big Ten,,R-Sr.
Hunter Shaw,Ohio State,Big Ten,,Sr.
Ryan Butler,Ohio State,Big Ten,,Gr.
Alonzo Paul Jr.,Ohio State,Big Ten,,Sr.
Douglas Bauer,Ohio State,Big Ten,,Sr.
Eli Anderson,Purdue,Big Ten,OF,Senior
Brandon Rogers,Purdue,Big Ten,OF,Senior
Jackson Bessette,Purdue,Big Ten,C,Senior
Sam Flores,Purdue,Big Ten,IF,Senior
Sergio DeCello,Purdue,Big Ten,UTL,Redshirt Senior
Ross Highfill,Purdue,Big Ten,C/OF,Senior
Avery Moore,Purdue,Big Ten,OF,Senior
Aaron Manias,Purdue,Big Ten,IF/OF,Redshirt Senior
CJ Richmond,Purdue,Big Ten,IF,Fifth Year
Nick Williams,Michigan State,Big Ten,OF,Gr.
Noah Bright,Michigan State,Big Ten,C,Gr.
Randy Seymour,Michigan State,Big Ten,INF,Sr.
Noah Ruiz,Northwestern,Big Ten,INF,Gr.
Jack Lausch,Northwestern,Big Ten,OF,Sr.
Marty Kaplan,Northwestern,Big Ten,OF,Sr.
Owen McElfatrick,Northwestern,Big Ten,INF,Sr.
Preston Gamster,TCU,Big 12,INF,Sr.
Cole Cramer,TCU,Big 12,INF,Gr.
Lane Hutchinson,TCU,Big 12,INF,Gr.
Rob Liddington,TCU,Big 12,UT,Gr.
Jack Arthur,TCU,Big 12,OF,R-Sr.
Colin Blanchard,TCU,Big 12,C,Sr.
Hunter Teplanszky,Baylor,Big 12,INF,Sr.
Enzo Apodaca,Baylor,Big 12,OF,R-Sr.
Hunter Simmons,Baylor,Big 12,1B/OF,R-Sr.
Will Pendergrass,Baylor,Big 12,INF,R-Sr.
Cortlan Castle,Baylor,Big 12,C,Sr.
Ty Johnson,Baylor,Big 12,OF,Sr.
Wesley Jordan,Baylor,Big 12,OF,Sr.
Bear Madliak,Kansas State,Big 12,C,R-Sr.
Carlos Vasquez,Kansas State,Big 12,INF,R-Sr.
Shintaro Inoue,Kansas State,Big 12,INF,Sr.
Grant Gallagher,Kansas State,Big 12,INF,Sr.
Robby Bolin,Kansas State,Big 12,OF,Sr.
Kyan Lodice,Kansas State,Big 12,INF/OF,R-Sr.
Shea McGahan,Kansas State,Big 12,C,Gr.
Max Soliz Jr.,Kansas,SEC,C/1B,Sr.
Dariel Osoria,Kansas,SEC,INF,Sr.
Jordan Bach,Kansas,SEC,OF,Gr.
Matthew Graveline,West Virginia,ACC,OF/C,Sr.
Paul Schoenfeld,West Virginia,ACC,OF,5th
Sean Smith,West Virginia,ACC,OF,Gr.
Brodie Kresser,West Virginia,ACC,INF,Gr.
Brock Wills,West Virginia,ACC,OF,Sr.
Ben Lumsden,West Virginia,ACC,OF,Sr.
Carter Sintek,Houston,Big 12,INF,Sr.
Antonelli Savattere,Houston,Big 12,INF,Sr.
Irvin Weems III,Houston,Big 12,OF,R-Sr.
Tyler Cox,Houston,Big 12,INF,Sr.
Cade Climie,Houston,Big 12,INF,Sr.
Dylan Maxcey,Houston,Big 12,C,Sr.
Christopher Bernal,Houston,Big 12,C,R-Sr.
Carsten Sabathia III,Houston,Big 12,INF,Sr.
Braden Calise,UCF,Big 12,Infielder,Redshirt Senior
Landon Moran,UCF,Big 12,1B/OF,Senior
Cayden Gaskin,UCF,Big 12,Infielder/Outfielder,Senior
Javier Crespo,UCF,Big 12,Infielder,Redshirt Senior
JD Rogers,UCF,Big 12,Outfielder,Redshirt Senior
Mason Wilson,UCF,Big 12,Catcher/First Baseman,Redshirt Senior
Zak Skinner,UCF,Big 12,Catcher,Redshirt Senior
DeAmez Ross,UCF,Big 12,Outfielder,Senior
John Smith III,UCF,Big 12,Outfielder,Senior
Patrick Graham,BYU,Big 12,Infielder,Senior
Parker Goff,BYU,Big 12,Catcher (R/R),Senior
Luke Anderson,BYU,Big 12,Outfielder/Infielder (R/R),Senior
Bryker Hurdsman,BYU,Big 12,Outfielder (R/R),Senior
Easton Jones,BYU,Big 12,Infielder (R/R),Senior
