name,team,conference,position,class_year
Zac Cowan,LSU,SEC,Right-Handed Pitcher,Senior
Dax Dathe,LSU,SEC,Right-Handed Pitcher,5th-year Senior
Grant Fontenot,LSU,SEC,Right-Handed Pitcher,5th-year Senior
Connor Benge,LSU,SEC,Right-Handed Pitcher,Senior
Ryan Ginther,Vanderbilt,SEC,LHP,Senior
Tommy O'Rourke,Vanderbilt,SEC,RHP,Graduate
Matt Scott,Georgia,SEC,RHP,Sr.
Bryce Calloway,Georgia,SEC,1B/RHP,Gr.
Caden Aoki,Georgia,SEC,RHP,Gr.
Teddy Brennan,Georgia,SEC,LHP,Gr.
Andrew Behnke,Georgia,SEC,LHP,Gr.
Grant Edwards,Georgia,SEC,RHP,Gr.
Thomas Ellisen,Georgia,SEC,RHP,Gr.
Lucas Morici,Georgia,SEC,RHP,Sr.
Mason Kosowick,Georgia,SEC,RHP,Gr.
Cullen Horowicz,South Carolina,SEC,Right Handed Pitcher,Senior
Marko Sipila,Ole Miss,SEC,RHP,Sr.
Hunter Elliott,Ole Miss,SEC,LHP,Sr.
Landon Waters,Ole Miss,SEC,RHP,Sr.
Jack Bennett,Kentucky,SEC,RHP,Senior
Nile Adcock,Kentucky,SEC,RHP,Senior
Ira Austin IV,Kentucky,SEC,RHP,Senior
Jackson Soucie,Kentucky,SEC,LHP,Senior
Jacob Marlowe,Florida State,SEC,LHP,R-Sr.
Ben Barrett,Florida State,SEC,RHP,Sr.
Gabe Nard,Florida State,SEC,RHP,Sr.
Nathan Dvorsky,Clemson,ACC,RHP,Sr.
Joe Allen,Clemson,ACC,RHP,Sr. (Graduate)
Michael Sharman,Clemson,ACC,LHP,*Sr.
Luke Kissenberth,Clemson,ACC,RHP,**Sr. (Graduate)
Aidan Weaver,Duke,ACC,RHP,Sr.
Edward Hart,Duke,ACC,LHP,Sr.
David Boisvert,Duke,ACC,RHP,Gr.
Caleb Anderson,Duke,ACC,RHP,Gr.
Andy Leon,Duke,ACC,RHP,Gr.
Roman DiGiacomo,Duke,ACC,RHP,Sr.
Drew Bryan,Duke,ACC,RHP,Gr.
Grayson Walker,Duke,ACC,RHP,Gr.
Will Ray,Wake Forest,ACC,RHP,Gr.
Zach Johnston,Wake Forest,ACC,LHP,Sr.
Luke Schmolke,Wake Forest,ACC,RHP,Sr.
Danny Heintz,NC State,ACC,RHP,Gr.
Lyndon Glidewell,Miami,ACC,Right-handed pitcher,Senior
Rob Evans,Miami,ACC,Left-handed pitcher,Senior
Michael Taylor,Miami,ACC,Right-handed pitcher,Senior
Packy Bradley-Cooney,Miami,ACC,Right-handed pitcher,Graduate Student
Ryan Bilka,Miami,ACC,Right-handed pitcher,Senior
Tyler Mudd,Boston College,ACC,LHP,Gr.
Sean Hard,Boston College,ACC,RHP,Gr.
John Kwiatkowski,Boston College,ACC,LHP,Sr.
Bobby Chicoine,Boston College,ACC,RHP,Sr.
Matthew Spada,Boston College,ACC,LHP,Sr.
A.J. Colarusso,Boston College,ACC,LHP,Sr.
Peter Schaefer,Boston College,ACC,RHP,Gr.
Ty Uber,Notre Dame,ACC,RHP,Graduate Student
Xavier Hirsch,Notre Dame,ACC,RHP,Senior
Evan Clark,Notre Dame,ACC,LHP,Graduate Student
Radek Birkholz,Notre Dame,ACC,RHP,Graduate Student
Eli Thurmond,Notre Dame,ACC,RHP,Graduate Student
Noah Rooney,Notre Dame,ACC,LHP,Senior
Mikey Gray,Pittsburgh,ACC,LHP,Sr.
Noah Czajkowski,Pittsburgh,ACC,RHP,Sr.
Sam Bryan,Pittsburgh,ACC,RHP,R-Sr.
Eddie Smink,Pittsburgh,ACC,RHP,Sr.
Chase Kriebel,Pittsburgh,ACC,LHP,Sr.
David Leslie,Pittsburgh,ACC,RHP,Gr.
Vincent Spizzoucco,Pittsburgh,ACC,LHP,Gr.
Daniel McAuliff,Pittsburgh,ACC,RHP,Gr.
Andrew Luczak,Pittsburgh,ACC,RHP,Gr.
Kevin Mannell,Nebraska,Big Ten,RHP,R-Sr.
Caleb Clark,Nebraska,Big Ten,LHP,Sr.
Grant Cleavinger,Nebraska,Big Ten,LHP,Sr.
Lynden Bruegman,Nebraska,Big Ten,LHP,Sr.
Jalen Worthley,Nebraska,Big Ten,LHP,Sr.
Joe Husak,Iowa,Big Ten,RHP,Gr.
Logan Runde,Iowa,Big Ten,RHP,Gr.
Justin Hackett,Iowa,Big Ten,RHP,Sr.
Ganon Archer,Iowa,Big Ten,RHP,Sr.
Alistair Morin,Maryland,Big Ten,RHP,R-Sr.
Richie LaCien,Illinois,Big Ten,RHP,Gr.
Liam McKillop,Illinois,Big Ten,RHP,Gr.
Reed Gannon,Illinois,Big Ten,LHP,Sr.
Mitch Dye,Illinois,Big Ten,RHP,Sr.
Ben Plumley,Illinois,Big Ten,RHP,Sr.
Sam Reed,Illinois,Big Ten,LHP,Sr.
Easton Richter,Minnesota,Big Ten,OF/RHP,Sr.
Caden Capomaccio,Minnesota,Big Ten,RHP,Sr.
Joe Sperry,Minnesota,Big Ten,RHP/DH,Sr.
Josh Kirchhoff,Minnesota,Big Ten,RHP,Sr.
Ben Gregory,Minnesota,Big Ten,RHP,Sr.
Logan Winkelman,Minnesota,Big Ten,LHP,Sr.
Brandon Jaenke,Minnesota,Big Ten,RHP,Sr.
Jarvis Evans,Purdue,Big Ten,LHP,Senior
Nick Kolze,Purdue,Big Ten,RHP,Senior
Gavin Beuter,Purdue,Big Ten,RHP,Senior
Graham Kollen,Purdue,Big Ten,RHP,Graduate Student
Zach Erdman,Purdue,Big Ten,LHP,Senior
Austin Klug,Purdue,Big Ten,RHP,Senior
Barron Sawyer,Purdue,Big Ten,RHP,Senior
Jake Kramer,Purdue,Big Ten,RHP,Senior
Carter Monke,Michigan State,Big Ten,RHP,Gr.
Tommy Szczepanski,Michigan State,Big Ten,RHP,Sr.
JD Greeley,Michigan State,Big Ten,RHP,Gr.
Nolan Higgins,Michigan State,Big Ten,RHP,Sr.
Andrew Siler,Michigan State,Big Ten,LHP,Gr.
Drew Dickson,Northwestern,Big Ten,RHP,Sr.
Sam Hliboki,Northwestern,Big Ten,RHP,Gr.
Ryan Weaver,Northwestern,Big Ten,LHP,Gr.
Charlie Kutz,Northwestern,Big Ten,LHP,Gr.
Louis Rodriguez,TCU,Big 12,RHP,Sr.
Tanner Sagouspe,TCU,Big 12,RHP,Sr.
Nolan Johnson,TCU,Big 12,LHP,Sr.
Walter Quinn,TCU,Big 12,RHP,Sr.
Andrew Petrowski,Baylor,Big 12,RHP,R-Sr.
Bryson Bales,Baylor,Big 12,LHP,R-Sr.
Will Glatch,Baylor,Big 12,RHP,Sr.
Patrick Hail,Baylor,Big 12,RHP,R-Sr.
Cole Stasio,Baylor,Big 12,RHP,R-Sr.
Caleb Bunch,Baylor,Big 12,RHP,Sr.
Drew Leach,Baylor,Big 12,RHP,R-Sr.
Aaron Arnold,Kansas State,Big 12,RHP,Sr.
Matt Flores,Kansas State,Big 12,RHP,Sr.
Cohen Feser,Kansas State,Big 12,RHP,R-Sr.
Carson Liggett,Kansas State,Big 12,RHP,R-Sr.
Tazwell Butler,Kansas State,Big 12,RHP,R-Sr.
Robert Fortenberry,Kansas State,Big 12,LHP,Sr.
Billy Eich,Kansas State,Big 12,RHP,Sr.
Miles Smith,Kansas State,Big 12,RHP,R-Sr.
Lincoln Sheffield,Kansas State,Big 12,LHP,Sr.
Toby Scheidt,Kansas,SEC,RHP,Sr.
Joshua Dykhoff,Kansas,SEC,RHP/1B,Sr.
Carter Fink,Kansas,SEC,RHP,Gr.
Kannon Carr,Kansas,SEC,RHP,Sr.
Dalton Smith,Kansas,SEC,RHP,Sr.
Ian Korn,West Virginia,ACC,RHP,Gr.
Luke Lyman,West Virginia,ACC,RHP,Sr.
Reese Bassinger,West Virginia,ACC,RHP,Gr.
Carson Estridge,West Virginia,ACC,RHP,Sr.
Ben McDougal,West Virginia,ACC,LHP,Sr.
Harrison Boushele,Houston,Big 12,RHP,Gr.
Tyler Bryan,Houston,Big 12,RHP,Sr.
Paul Schmitz,Houston,Big 12,RHP,Sr.
Ryne Rodriguez,Houston,Big 12,LHP,Sr.
Chris Scinta,Houston,Big 12,LHP,Sr.
David Stich,Houston,Big 12,RHP,R-Sr.
Roman Kimball,UCF,Big 12,Right-Handed Pitcher,Redshirt Senior
Kevin Schoneboom,UCF,Big 12,Right-Handed Pitcher,Senior
Chandler Dorsey,UCF,Big 12,Right-Handed Pitcher,Senior
Kris Sosnowski,UCF,Big 12,Right-Handed Pitcher,Redshirt Senior
Michael Gillen,UCF,Big 12,Right-Handed Pitcher,Senior
Grant Siegel,UCF,Big 12,Right-Handed Pitcher,Redshirt Senior
Sam Hart,BYU,Big 12,Right Hand Pitcher,Graduate
Wayland Crane,BYU,Big 12,Left Hand Pitcher,Senior
Luke Sterner,BYU,Big 12,Right Hand Pitcher,Senior
Garrison Sumner,BYU,Big 12,Right Hand Pitcher,Senior
Ashton Johnson,BYU,Big 12,Left Hand Pitcher,Senior
