name,team,position,class_year
Louis Rodriguez,TCU,RHP,Sr.
Tanner Sagouspe,TCU,RHP,Sr.
Nolan Johnson,TCU,LHP,Sr.
Walter Quinn,TCU,RHP,Sr.
Andrew Petrowski,Baylor,RHP,R-Sr.
Bryson Bales,Baylor,LHP,R-Sr.
Will Glatch,Baylor,RHP,Sr.
Patrick Hail,Baylor,RHP,R-Sr.
Cole Stasio,Baylor,RHP,R-Sr.
Caleb Bunch,Baylor,RHP,Sr.
Drew Leach,Baylor,RHP,R-Sr.
Aaron Arnold,Kansas State,RHP,Sr.
Matt Flores,Kansas State,RHP,Sr.
Cohen Feser,Kansas State,RHP,R-Sr.
Carson Liggett,Kansas State,RHP,R-Sr.
Tazwell Butler,Kansas State,RHP,R-Sr.
Robert Fortenberry,Kansas State,LHP,Sr.
Billy Eich,Kansas State,RHP,Sr.
Miles Smith,Kansas State,RHP,R-Sr.
Lincoln Sheffield,Kansas State,LHP,Sr.
Harrison Boushele,Houston,RHP,Gr.
Tyler Bryan,Houston,RHP,Sr.
Paul Schmitz,Houston,RHP,Sr.
Ryne Rodriguez,Houston,LHP,Sr.
Chris Scinta,Houston,LHP,Sr.
David Stich,Houston,RHP,R-Sr.
Roman Kimball,UCF,Right-Handed Pitcher,Redshirt Senior
Kevin Schoneboom,UCF,Right-Handed Pitcher,Senior
Chandler Dorsey,UCF,Right-Handed Pitcher,Senior
Kris Sosnowski,UCF,Right-Handed Pitcher,Redshirt Senior
Michael Gillen,UCF,Right-Handed Pitcher,Senior
Grant Siegel,UCF,Right-Handed Pitcher,Redshirt Senior
Sam Hart,BYU,Right Hand Pitcher,Graduate
Wayland Crane,BYU,Left Hand Pitcher,Senior
Luke Sterner,BYU,Right Hand Pitcher,Senior
Garrison Sumner,BYU,Right Hand Pitcher,Senior
Ashton Johnson,BYU,Left Hand Pitcher,Senior
