name,team,position,class_year
Preston Gamster,TCU,INF,Sr.
Cole Cramer,TCU,INF,Gr.
Lane Hutchinson,TCU,INF,Gr.
Rob Liddington,TCU,UT,Gr.
Jack Arthur,TCU,OF,R-Sr.
Colin Blanchard,TCU,C,Sr.
Hunter Teplanszky,Baylor,INF,Sr.
Enzo Apodaca,Baylor,OF,R-Sr.
Hunter Simmons,Baylor,1B/OF,R-Sr.
Will Pendergrass,Baylor,INF,R-Sr.
Cortlan Castle,Baylor,C,Sr.
Ty Johnson,Baylor,OF,Sr.
Wesley Jordan,Baylor,OF,Sr.
Bear Madliak,Kansas State,C,R-Sr.
Carlos Vasquez,Kansas State,INF,R-Sr.
Shintaro Inoue,Kansas State,INF,Sr.
Grant Gallagher,Kansas State,INF,Sr.
Robby Bolin,Kansas State,OF,Sr.
Kyan Lodice,Kansas State,INF/OF,R-Sr.
Shea McGahan,Kansas State,C,Gr.
Carter Sintek,Houston,INF,Sr.
Antonelli Savattere,Houston,INF,Sr.
Irvin Weems III,Houston,OF,R-Sr.
Tyler Cox,Houston,INF,Sr.
Cade Climie,Houston,INF,Sr.
Dylan Maxcey,Houston,C,Sr.
Christopher Bernal,Houston,C,R-Sr.
Carsten Sabathia III,Houston,INF,Sr.
Braden Calise,UCF,Infielder,Redshirt Senior
Landon Moran,UCF,1B/OF,Senior
Cayden Gaskin,UCF,Infielder/Outfielder,Senior
Javier Crespo,UCF,Infielder,Redshirt Senior
JD Rogers,UCF,Outfielder,Redshirt Senior
Mason Wilson,UCF,Catcher/First Baseman,Redshirt Senior
Zak Skinner,UCF,Catcher,Redshirt Senior
DeAmez Ross,UCF,Outfielder,Senior
John Smith III,UCF,Outfielder,Senior
Patrick Graham,BYU,Infielder,Senior
Parker Goff,BYU,Catcher (R/R),Senior
Luke Anderson,BYU,Outfielder/Infielder (R/R),Senior
Bryker Hurdsman,BYU,Outfielder (R/R),Senior
Easton Jones,BYU,Infielder (R/R),Senior
