name,team,position,class_year
Jett Buck,Nebraska,INF,Sr.
Joshua Overbeek,Nebraska,INF,Sr.
Rhett Stokes,Nebraska,INF,Sr.
Cole Kitchens,Nebraska,INF,Sr.
Dylan Carey,Nebraska,INF,Sr.
Caleb Wulf,Iowa,UTIL,Sr.
Gable Mitchell,Iowa,IF,Sr.
Bryce Phelps,Iowa,OF,Gr.
Miles Risley,Iowa,OF,Sr.
Mitch Wood,Iowa,UTIL,Sr.
Joey Nerat,Iowa,OF,Sr.
Matthew Delgado,Iowa,C,Gr.
Aden Hill,Maryland,OF,Sr.
Jack Zebig,Illinois,INF,Sr.
Daniel Contreras,Illinois,C,Gr.
Cole Warehime,Illinois,OF/1B,Sr.
Nick Groves,Illinois,OF,Sr.
Will Johannes,Illinois,C/1B,Sr.
Jack Mosh,Minnesota,INF,Sr.
Davis Hamilton,Minnesota,INF,Sr.
Sam Hunt,Minnesota,C,R-Sr.
Michael Lippe,Minnesota,OF,Sr.
Weber Neels,Minnesota,C/INF,Sr.
Michael Starrs,Minnesota,INF,Gr.
Jack Bello,Minnesota,INF,Sr.
Jake Elbeery,Minnesota,INF,Gr.
Henry Kaczmar,Ohio State,,Sr.
Noah Furcht,Ohio State,,Gr.
Grant Mangrum,Ohio State,,Gr.
Zach Weber,Ohio State,,Gr.
Luke Carrell,Ohio State,,R-Sr.
Hunter Shaw,Ohio State,,Sr.
Ryan Butler,Ohio State,,Gr.
Alonzo Paul Jr.,Ohio State,,Sr.
Douglas Bauer,Ohio State,,Sr.
Eli Anderson,Purdue,OF,Senior
Brandon Rogers,Purdue,OF,Senior
Jackson Bessette,Purdue,C,Senior
Sam Flores,Purdue,IF,Senior
Sergio DeCello,Purdue,UTL,Redshirt Senior
Ross Highfill,Purdue,C/OF,Senior
Avery Moore,Purdue,OF,Senior
Aaron Manias,Purdue,IF/OF,Redshirt Senior
CJ Richmond,Purdue,IF,Fifth Year
Nick Williams,Michigan State,OF,Gr.
Noah Bright,Michigan State,C,Gr.
Randy Seymour,Michigan State,INF,Sr.
Noah Ruiz,Northwestern,INF,Gr.
Jack Lausch,Northwestern,OF,Sr.
Marty Kaplan,Northwestern,OF,Sr.
Owen McElfatrick,Northwestern,INF,Sr.
