name,team,position,class_year
Kevin Mannell,Nebraska,RHP,R-Sr.
Caleb Clark,Nebraska,LHP,Sr.
Grant Cleavinger,Nebraska,LHP,Sr.
Lynden Bruegman,Nebraska,LHP,Sr.
Jalen Worthley,Nebraska,LHP,Sr.
Joe Husak,Iowa,RHP,Gr.
Logan Runde,Iowa,RHP,Gr.
Justin Hackett,Iowa,RHP,Sr.
Ganon Archer,Iowa,RHP,Sr.
Alistair Morin,Maryland,RHP,R-Sr.
Richie LaCien,Illinois,RHP,Gr.
Liam McKillop,Illinois,RHP,Gr.
Reed Gannon,Illinois,LHP,Sr.
Mitch Dye,Illinois,RHP,Sr.
Ben Plumley,Illinois,RHP,Sr.
Sam Reed,Illinois,LHP,Sr.
Easton Richter,Minnesota,OF/RHP,Sr.
Caden Capomaccio,Minnesota,RHP,Sr.
Joe Sperry,Minnesota,RHP/DH,Sr.
Josh Kirchhoff,Minnesota,RHP,Sr.
Ben Gregory,Minnesota,RHP,Sr.
Logan Winkelman,Minnesota,LHP,Sr.
Brandon Jaenke,Minnesota,RHP,Sr.
Jarvis Evans,Purdue,LHP,Senior
Nick Kolze,Purdue,RHP,Senior
Gavin Beuter,Purdue,RHP,Senior
Graham Kollen,Purdue,RHP,Graduate Student
Zach Erdman,Purdue,LHP,Senior
Austin Klug,Purdue,RHP,Senior
Barron Sawyer,Purdue,RHP,Senior
Jake Kramer,Purdue,RHP,Senior
Carter Monke,Michigan State,RHP,Gr.
Tommy Szczepanski,Michigan State,RHP,Sr.
JD Greeley,Michigan State,RHP,Gr.
Nolan Higgins,Michigan State,RHP,Sr.
Andrew Siler,Michigan State,LHP,Gr.
Drew Dickson,Northwestern,RHP,Sr.
Sam Hliboki,Northwestern,RHP,Gr.
Ryan Weaver,Northwestern,LHP,Gr.
Charlie Kutz,Northwestern,LHP,Gr.
