name,team,position,class_year
Zac Cowan,LSU,Right-Handed Pitcher,Senior
Dax Dathe,LSU,Right-Handed Pitcher,5th-year Senior
Grant Fontenot,LSU,Right-Handed Pitcher,5th-year Senior
Connor Benge,LSU,Right-Handed Pitcher,Senior
Ryan Ginther,Vanderbilt,LHP,Senior
Tommy O'Rourke,Vanderbilt,RHP,Graduate
Matt Scott,Georgia,RHP,Sr.
Bryce Calloway,Georgia,1B/RHP,Gr.
Caden Aoki,Georgia,RHP,Gr.
Teddy Brennan,Georgia,LHP,Gr.
Andrew Behnke,Georgia,LHP,Gr.
Grant Edwards,Georgia,RHP,Gr.
Thomas Ellisen,Georgia,RHP,Gr.
Lucas Morici,Georgia,RHP,Sr.
Mason Kosowick,Georgia,RHP,Gr.
Cullen Horowicz,South Carolina,Right Handed Pitcher,Senior
Marko Sipila,Ole Miss,RHP,Sr.
Hunter Elliott,Ole Miss,LHP,Sr.
Landon Waters,Ole Miss,RHP,Sr.
Jack Bennett,Kentucky,RHP,Senior
Nile Adcock,Kentucky,RHP,Senior
Ira Austin IV,Kentucky,RHP,Senior
Jackson Soucie,Kentucky,LHP,Senior
Jacob Marlowe,Florida State,LHP,R-Sr.
Ben Barrett,Florida State,RHP,Sr.
Gabe Nard,Florida State,RHP,Sr.
Toby Scheidt,Kansas,RHP,Sr.
Joshua Dykhoff,Kansas,RHP/1B,Sr.
Carter Fink,Kansas,RHP,Gr.
Kannon Carr,Kansas,RHP,Sr.
Dalton Smith,Kansas,RHP,Sr.
