name,team,position,class_year
Chris Stanfield,LSU,Outfield,Senior
Tanner Reaves,LSU,Infield,5th-year Senior
Brayden Simpson,LSU,Infield,Senior
Seth Dardar,LSU,Infield,5th-year Senior
Zach Yorke,LSU,Infield,Senior
Jacob Humphrey,Vanderbilt,UTL,Senior
JD Rogers,Vanderbilt,OF,Senior
Ryan Black,Georgia,INF,Sr.
Michael O'Shaughnessy,Georgia,INF,Sr.
Kolby Branch,Georgia,INF,Sr.
Jordy Oriach,Georgia,UTIL,Sr.
Brennan Hudson,Georgia,C/INF/OF,Sr.
Cole Koniarsky,Georgia,OF,Gr.
Logan Sutter,South Carolina,Infielder,Fifth Year
Talmadge LeCroy,South Carolina,Catcher,Fifth Year
Ethan Lizama,South Carolina,Outfielder,Senior
Jake Randolph,South Carolina,Catcher,Senior
Luke Yuhasz,South Carolina,Outfielder,Senior
Collin Reuter,Ole Miss,C/IF,Sr.
Daniel Pacella,Ole Miss,OF,Sr.
Judd Utermark,Ole Miss,IF,Sr.
Tristan Bissetta,Ole Miss,OF,Sr.
Will Furniss,Ole Miss,IF,Sr.
Tyler Cerny,Kentucky,INF,Senior
Will Marcy,Kentucky,OF,Senior
Alex Duffey,Kentucky,C/UT,Senior
Luke Lawrence,Kentucky,INF,Senior
Scott Campbell Jr.,Kentucky,OF,Senior
Carson Hansen,Kentucky,OF,Senior
Carter McCulley,Florida State,INF,Sr.
Eli Putnam,Florida State,INF,R-Sr.
Max Soliz Jr.,Kansas,C/1B,Sr.
Dariel Osoria,Kansas,INF,Sr.
Jordan Bach,Kansas,OF,Gr.
